City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Nueva Loja,EC,70.16,moderate rain,0.0847,-76.8828,Limoncocha Great Hotel
275,Labuhan,ID,82.78,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
279,San,ML,76.23,overcast clouds,13.3034,-4.8956,Hôtel Teriya
280,Shelburne,CA,67.77,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
283,Zinder,NE,76.08,overcast clouds,13.8072,8.9881,Hotel de Ville
285,Hovd,MN,64.71,clear sky,48.0056,91.6419,Hotel Khovd
286,Bandarbeyla,SO,78.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
287,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
288,Itoman,JP,86.38,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
289,Caravelas,BR,73.53,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
290,Linjiang,CN,87.55,overcast clouds,41.8069,126.9078,格林豪泰
291,Van,TR,65.55,few clouds,38.4924,43.3831,Elite World Van Hotel
292,Bethel,US,71.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
293,Castelo Do Piaui,BR,82.65,overcast clouds,-5.3222,-41.5525,Nobre Hotel
294,Keti Bandar,PK,82.6,overcast clouds,24.1447,67.4497,Haji laloo memon house
299,Ahtopol,BG,70.27,clear sky,42.1,27.95,Agata Beach Hotel
301,Lianyuan,CN,87.28,clear sky,27.6883,111.6642,Lianyuan Hotel
302,Grand Gaube,MU,71.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
304,Umm Lajj,SA,85.32,broken clouds,25.0213,37.2685,Moon light Furnished Units
307,Santa Rosa,PH,83.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
309,Mikhaylovka,RU,72.41,overcast clouds,50.06,43.2379,5 Komnat
310,Antofagasta,CL,63.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
311,Castelbuono,IT,83.23,clear sky,37.932,14.0886,Hotel Paradiso Delle Madonie
312,Tomatlan,MX,79.21,clear sky,19.9333,-105.25,El Salvial
313,Buchanan,LR,75.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
315,Alofi,NU,73.74,broken clouds,-19.0595,-169.9187,Taloa Heights
316,Krasnyy Chikoy,RU,73.33,broken clouds,50.3643,108.7512,Persona
317,Pesaro,IT,81.95,clear sky,43.9036,12.8903,Savoy
318,Bandrele,YT,74.95,light rain,-12.9067,45.1914,Les Baobabs
321,Ballina,AU,72.79,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
323,Bourail,NC,75.79,clear sky,-21.5667,165.4833,Motel Allamanda
324,Lorengau,PG,85.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
325,Whitehorse,CA,70.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
327,Lompoc,US,77.22,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
328,Bengkulu,ID,81.07,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
330,Hellvik,NO,61.27,overcast clouds,59.9156,5.781,Rabben feriesenter AS
331,Xapuri,BR,68.7,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
334,Zhigalovo,RU,79.99,clear sky,54.8097,105.1578,"Hotel ""Lenatur"""
336,Palmer,US,68.04,scattered clouds,42.1584,-72.3287,Wedgewood Motel
338,Port Keats,AU,88.74,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
340,Durant,US,89.53,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
341,Fernie,CA,84.61,overcast clouds,49.5,-115.0687,Fernie Stanford Resort
343,La Ronge,CA,62.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
344,Ahipara,NZ,62.04,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
349,Frontera,MX,84.33,scattered clouds,26.9333,-101.45,Casagrande Hotel
351,Los Banos,PH,82.8,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
352,Lewiston,US,62.24,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
354,Kulhudhuffushi,MV,82.45,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
355,Gushikawa,JP,85.59,scattered clouds,26.3544,127.8686,Kirari Guest House
358,Canico,PT,72.23,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
359,Thunder Bay,CA,70.29,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
360,Tutoia,BR,76.78,clear sky,-2.7619,-42.2744,Pousada Guará's
361,Zhigansk,RU,65.5,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
363,Wilmington,US,78.94,moderate rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
364,Puerto Madero,MX,79.0,scattered clouds,14.7208,-92.4215,Hotel La Central
